Month,Terminal ID,Terminal Serial,Business Name,Payment Value,Payment Volume,Transfer Value,Transfer Volume,"Target PaymentValue",Target Met,"Days Since LastTransaction"
May,2070G4WR,P260300724045,"FOUANI NIGERIA LIMITEDSURULERE","12,039,556.33",16,0,0,"20,000.00",TRUE,0
May,2070AZHK,P260301664375,"BOVAS & COMPANY LIMITED -Bovas and company Ashi","8,612,042.00",447,0,0,"20,000.00",TRUE,0
May,2033FPWF,P260301778312,HABEEB OPEYEMI,"7,433,800.00",18,"7,140,400.00",12,"20,000.00",TRUE,0
May,2057KP4E,P260301581764,AMINU ATTAH YARO,"7,314,800.00",42,"6,678,400.00",43,"20,000.00",TRUE,0
May,2033ZTGW,P260300489219,ORIRE G MULTIVENTURE 2,"5,919,100.00",46,"6,032,400.00",39,"20,000.00",TRUE,0
May,2070P0VM,P260301302599,TOP SUCCESS IWO ROAD,"5,218,900.00",79,0,0,"20,000.00",TRUE,0
May,2033CKVP,P260300856185,"ALINCO-BOY MULTI-BUSINESSENTERPRISE - YOUNG SHALLGROW INVESTMENT","5,045,000.00",34,"4,281,100.00",24,"20,000.00",TRUE,0
May,2070UI5U,P260301819434,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY GBAGI","4,940,330.00",182,0,0,"20,000.00",TRUE,0
May,2070F4DB,P260301926525,"BOVAS & COMPANY LIMITED -Bovas and company Ilesha 2","4,904,870.00",117,0,0,"20,000.00",TRUE,0
May,2070ADTQ,P260301374738,ORIRE G MULTI VENTURES,"4,746,500.00",9,"3,902,800.00",5,"20,000.00",TRUE,0
May,2070HIPC,P260301532179,Olas peace diamond 4,"4,545,600.00",72,"4,539,489.00",24,"20,000.00",TRUE,0
May,2070411G,P260301326763,Toyjok Global ventures,"4,488,000.00",68,"4,334,800.00",17,"20,000.00",TRUE,0
May,2214C0GO,P260301557207,Success FM Abeuokuta,"4,282,200.00",67,0,0,"20,000.00",TRUE,0
May,2033FOPE,P260301165956,YALWA RANO VENTURES,"4,235,600.00",58,"10,221,200.00",68,"20,000.00",TRUE,0
May,2033GCCM,P260300159184,OLAS PEACE 3 VENTURES,"3,995,300.00",60,"3,989,800.00",29,"20,000.00",TRUE,0
May,2057URND,P260301664376,"BOVAS & COMPANY LIMITED -Bovas and company Ashi","3,748,134.00",246,0,0,"20,000.00",TRUE,0
May,2057PT1J,P260301586101,"DVS RELIABLE SOLARCONSULT","3,100,000.00",3,0,0,"20,000.00",TRUE,0
May,2057NKLW,P260300316634,PLANTOM TELECOMS,"2,800,000.00",23,0,0,"20,000.00",TRUE,0
May,22143UQC,P260301274159,TOMUP - TOMUP IWO ROAD 2,"2,475,000.00",35,0,0,"20,000.00",TRUE,0
May,2070UG9I,P260301169027,FOODCO NIG BAKERY AKOBO,"2,448,500.00",17,0,0,"20,000.00",TRUE,0
May,2057CCBX,P260300603709,Olas Peace Diamond 2,"2,283,200.00",10,"21,750,000.00",15,"20,000.00",TRUE,0
May,2033OHCX,P260301823983,OORE OFE STORE,"2,225,000.00",27,"2,522,275.00",15,"20,000.00",TRUE,0
May,2070F8EP,P260300645861,"UNIQUE ELDEE GLOBALENTERPRISES","2,151,100.00",48,0,0,"20,000.00",TRUE,0
May,207047RA,P260300446351,DISCOVERY GROUP LTD,"2,100,900.00",22,"2,131,350.00",9,"20,000.00",TRUE,0
May,22143HIP,P260300666160,TOMUP - TOMUP HQ,"1,953,000.00",29,0,0,"20,000.00",TRUE,0
May,2070GTSA,P260301532539,"OLWADAMS PETROLEUM OILAND GAS 2","1,933,680.00",117,0,0,"20,000.00",TRUE,0
May,2070RNL4,P260301464219,YALWA RANO VENTURES 2,"1,887,900.00",48,"8,449,400.00",58,"20,000.00",TRUE,0
