Month,Terminal ID,Terminal Serial,Business Name,Payment Value,Payment Volume,Transfer Value,Transfer Volume,"Target PaymentValue",Target Met,"Days Since LastTransaction"
April,2033FPWF,P260301778312,HABEEB OPEYEMI,"10,661,200.00",43,"8,385,000.00",16,"20,000.00",TRUE,0
April,2070HIPC,P260301532179,Olas peace diamond 4,"10,171,596.00",117,"10,613,327.00",56,"20,000.00",TRUE,0
April,2070F4CL,P260301172084,"BOVAS & COMPANY LIMITED -Bovas and company Ife 1","9,722,730.00",247,0,0,"20,000.00",TRUE,0
April,2070G4WR,P260300724045,"FOUANI NIGERIA LIMITEDSURULERE","8,678,247.00",26,0,0,"20,000.00",TRUE,0
April,2070G4ET,P260301581181,"BOVAS & COMPANY LIMITED -Bovas and company Ife 2","7,227,550.00",480,0,0,"20,000.00",TRUE,0
April,2057HLDI,P260301350143,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY TANKE2","7,109,091.00",717,0,0,"20,000.00",TRUE,0
April,2070ABPC,P260301216654,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY ADO 2","5,873,650.00",475,0,0,"20,000.00",TRUE,0
April,2070F4DB,P260300746008,"BOVAS & COMPANY LIMITED -Bovas and company Ilesha 2","5,714,848.00",302,0,0,"20,000.00",TRUE,0
April,2057CCBX,P260300603709,Olas Peace Diamond 2,"5,404,799.00",14,"14,797,339.00",43,"20,000.00",TRUE,0
April,2057KP4E,P260301581764,AMINU ATTAH YARO,"5,317,600.00",39,"5,197,200.00",51,"20,000.00",TRUE,0
April,2070WO9M,P260301081346,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY ADENIJI","5,067,643.00",216,0,0,"20,000.00",TRUE,0
April,2070UI5U,P260301350148,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY GBAGI","5,050,788.00",407,0,0,"20,000.00",TRUE,0
April,2070P0VM,P260301302599,TOP SUCCESS IWO ROAD,"4,938,500.00",68,0,0,"20,000.00",TRUE,0
April,2070L9LD,P260301640955,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY agbowo","4,832,092.80",441,0,0,"20,000.00",TRUE,0
April,2070AZHK,P260301664375,"BOVAS & COMPANY LIMITED -Bovas and company Ashi","4,128,591.00",405,0,0,"20,000.00",TRUE,0
April,2033ZTGW,P260300489219,ORIRE G MULTIVENTURE 2,"3,894,100.00",50,"4,362,600.00",25,"20,000.00",TRUE,0
April,22143HIP,P260300666160,TOMUP - TOMUP HQ,"3,431,000.00",46,0,0,"20,000.00",TRUE,0
April,2070IY5V,P260301081350,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY JOS","3,160,374.00",103,0,0,"20,000.00",TRUE,0
April,2033OHCX,P260301823983,OORE OFE STORE,"3,014,250.00",30,"2,377,100.00",14,"20,000.00",TRUE,0
April,2057DOLM,P260301115975,"OLWADAMS PETROLEUM OILAND GAS","2,949,960.00",266,0,0,"20,000.00",TRUE,0
April,2057URND,P260301664376,"BOVAS & COMPANY LIMITED -Bovas and company Ashi","2,776,537.00",316,0,0,"20,000.00",TRUE,0
April,22143UQC,P260301274159,TOMUP - TOMUP IWO ROAD 2,"2,687,000.00",39,0,0,"20,000.00",TRUE,0
April,2033GDWD,P260301223045,ISMAIL STORES,"2,374,450.00",12,"1,949,000.00",5,"20,000.00",TRUE,0
April,2033GCCM,P260300159184,OLAS PEACE 3 VENTURES,"2,148,800.00",30,"3,795,728.00",35,"20,000.00",TRUE,0
April,20704OCM,P260300606044,JOFES MART SAGAMU,"2,138,591.00",236,0,0,"20,000.00",TRUE,0
April,2070RNL4,P260301464219,YALWA RANO VENTURES 2,"2,099,550.00",34,"7,704,600.00",72,"20,000.00",TRUE,0
April,2070F8EP,P260300645861,"UNIQUE ELDEE GLOBALENTERPRISES","2,058,050.00",55,0,0,"20,000.00",TRUE,0
April,2033TMG2,P260300325765,"TOLUWALASE GLOBALCONCEPT 2","2,045,650.00",46,"503,000.00",14,"20,000.00",TRUE,0
April,2070YG3N,P260301450712,SAO MOWE 11,"1,911,169.00",121,0,0,"20,000.00",TRUE,0
April,2033CKVP,P260300856185,"YOUNG SHALL GROWINVESTMENT","1,811,600.00",18,"6,085,700.00",36,"20,000.00",TRUE,0
April,2070OD3M,P260301195525,SAO MOWE 12,"1,758,600.00",115,0,0,"20,000.00",TRUE,0
April,2214C9AR,P260301815578,Davers multi purpose pos,"1,677,200.00",50,"345,000.00",11,"20,000.00",TRUE,0
